,College_Name,One_Year_Fee,Enterance_Exam,Rating,Review_Counts,Approved_By,Place,More_Details
396,Usha Martin University - [UMU],"₹ 98,000",JEE MAIN, 8.2 ,(71 Reviews),['UGC'],"Guntur,AndhraPradesh",https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
397,Dhanalakshmi Srinivasan College Of Engineering - [DSCE],"₹ 50,000",JEE MAIN, 8.2 ,(71 Reviews),['UGC'],"Guntur,AndhraPradesh",https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
398,GITAM,"₹ 329,500",JEE MAIN, 8.2 ,(71 Reviews),['UGC'],"Guntur,AndhraPradesh",https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
399,Birla Institute of Technology - [BIT],"₹ 1,262,000",JEE MAIN, 8.2 ,(71 Reviews),['UGC'],"Guntur,AndhraPradesh",https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
400,Institute of Advanced Studies in Education - [IASE University],"₹ 79,400",JEE MAIN, 8.2 ,(71 Reviews),['UGC'],"Guntur,AndhraPradesh",https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
401,Jayoti Vidyapeeth Women's University - [JVWU],"₹ 80,000",JEE MAIN, 8.2 ,(71 Reviews),['UGC'],"Guntur,AndhraPradesh",https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
402,RNB Global University - [RNBGU],"₹ 115,000",JEE MAIN, 7.9 ,(48 Reviews),"['AICTE, BCI, UGC, AIU']","Bikaner,Rajasthan",https://collegedunia.com/university/55795-rnb-global-university-rnbgu-bikaner
403,Anurag College of Engineering - [ACE],"₹ 78,000",TS EAMCET, 7.4 ,(55 Reviews),['AICTE'],"Ghatkesar,Telangana",https://collegedunia.com/college/9254-anurag-college-of-engineering-ace-ghatkesar
404,Agni College of Technology,"₹ 50,000",TNEA, 7.3 ,(35 Reviews),"['AICTE, NBA']","Chennai,TamilNadu",https://collegedunia.com/college/12741-agni-college-of-technology-chennai
405,Bengal College of Engineering and Technology - [BCET],"₹ 103,600",JEE MAIN, 7.2 ,(213 Reviews),['AICTE'],"Durgapur,WestBengal",https://collegedunia.com/college/13015-bengal-college-of-engineering-and-technology-bcet-durgapur
